CACNA1C	PRKCA
CACNA1C	PRKACG
CACNA1C	GNG10
CACNA1C	GNB3
CACNA1C	CAMK2B
CACNA1C	ADRB2
CACNA1C	GNB4
CACNA1C	SRC
CACNA1C	PPP2R4
CASK	CPLX1
CACNA1C	AKAP5
CASK	UNC13B
CASK	LIN7A
CASK	SDC2
CASK	DLG1
CASK	DLG4
CASK	RAB3A
CASK	KIRREL
CASK	LIN7B
CASK	PPFIA1
CASK	PPFIA2
CASK	BZRAP1
CASK	VAMP2
CASK	CD44
CASK	APBA1
CASK	SDC1
CASK	SNAP25
CASK	RIMS1
CASK	EPS8
CASK	SYT1
CASK	NPHS1
CASK	SYN1
CASK	STX1A
CASK	STXBP1
CASK	PPFIA3
MAPT	YWHAB
CASK	LIN7C
MAPT	CAMK2B
MAPT	SRC
MAPT	AKT1
MAPT	CASP3
MAPT	PSEN2
MAPT	PRKACG
MAPT	LCK
MAPT	MAPK13
MAPT	SNCA
MAPT	MAPK12
MAPT	YWHAE
MAPT	PRKACA
MAPT	HSPA8
MAPT	PPP2R4
MAPT	MAPK1
MAPT	YWHAG
MAPT	DCTN1
MAPT	ACTB
MAPT	PPP2CA
MAPT	YWHAQ
MAPT	HSP90AB1
MAPT	ANXA2
MAPT	SFN
MAPT	YWHAZ
MAPT	EGFR
MAPT	LRRK2
MAPT	PRKACB
MAPT	TP53
MAPT	FYN
MAPT	C9orf72
MAPT	APP
MAPT	PPP2CB
MAPT	MAPK3
MAPT	GAPDH
MAPT	PSEN1
MAPT	SQSTM1
MAPT	SYN1
MAPT	HSP90AA1
MAPT	MAPK8
MAPT	PPP2R5D
GNG8	LPAR5
GNG8	SRC
GNG8	GNB5
GNG8	GNB4
GNG8	GNAI1
GNG8	GNB2
GNG8	CACNA2D2
GNG8	F2R
GNG8	GNAS
GNG8	LPAR4
GNG8	GNAQ
GNG8	GNAZ
GNG8	CACNB2
GNG8	PRKCB
GNG8	CACNB3
GNG8	GNAO1
GNG8	GNGT1
GNG8	GNA11
GNG8	PTGIR
GNG8	CACNA1D
GNG8	GNGT2
GNG8	CHRM1
GNG8	GNB1
GNG8	GNB3
GNG8	GNA14
GNG8	GNA15
FRAT2	PPP2R1B
FRAT2	PPP2R5A
FRAT2	PPP2R5B
FRAT2	PPP2R5E
FRAT2	PPP2CB
FRAT2	PPP2CA
FRAT2	PPP2R1A
FRAT2	DVL2
FRAT2	DVL1
FRAT2	PPP2R5C
FRAT2	PPP2R5D
FRAT2	CTNNB1
GNB2L1	GRB2
GNB2L1	JUN
GNB2L1	AR
GNB2L1	FYN
GNB2L1	GNB1
GNB2L1	TRADD
GNB2L1	HSP90AA1
GNB2L1	PTK2
GNB2L1	DCTN2
GNB2L1	STAT1
GNB2L1	DNM1
GNB2L1	MAP2K7
GNB2L1	ATG5
GNB2L1	HRAS
GNB2L1	IGF1
GNB2L1	SHC1
GNB2L1	PRKCD
GNB2L1	PSMA7
GNB2L1	MAP2K3
GNB2L1	
GNB2L1	HSPA8
GNB2L1	GNG2
GNB2L1	TRAF2
GNB2L1	ITPR1
GNB2L1	IGF1R
